63	63
49	66
211	27
56	64
140	18
65	65
68	61
39	30
75	58
10	18
34	25
37	7
58	52
53	51
60	65
68	74
71	50
82	69
21	9
70	11
61	69
2	7
39	0
79	80
61	50
79	60
39	6
59	63
65	68
66	67
79	39
78	87
569	58
569	62
212	285
43	0
61	56
59	51
57	7
61	52
73	67
68	51
87	70
47	32
52	16
36	5
25	27
70	70
104	8
66	66
65	87
16	0
90	79
74	66
81	68
68	59
41	40
82	68
130	20
6	3
74	63
69	58
46	44
70	60
38	2
70	68
75	58
70	71
48	71
74	58
64	59
84	10
70	60
72	56
37	23
57	56
23	5
9	6
25	65
52	37
746	70
473	54
642	62
96	17
90	20
127	13
75	60
39	8
1	4
71	78
18	16
38	11
124	15
4	5
62	63
66	53
70	53
118	19
87	12
68	30
75	71
23	16
60	61
47	38
81	59
29	0
78	81
57	65
56	68
31	9
54	7
6	0
60	70
58	48
71	73
71	66
17	13
3	7
74	78
52	60
81	82
38	5
78	72
45	51
77	66
65	83
76	58
45	3
70	67
64	60
63	51
64	62
76	81
85	13
75	12
48	53
63	10
45	69
68	9
56	65
67	64
10	3
29	6
65	50
105	11
101	13
109	11
107	9
109	14
75	67
11	0
71	61
63	53
78	59
105	31
62	51
60	35
57	59
25	4
43	6
61	80
61	55
72	67
68	52
67	37
72	64
66	76
67	49
68	50
53	73
76	69
66	63
54	56
72	71
20	17
86	79
65	68
65	10
41	59
46	52
24	0
58	72
57	55
58	0
72	71
65	56
62	57
71	61
57	48
4	0
66	6
51	65
60	75
69	69
55	75
70	68
122	23
62	17
74	53
43	54
82	15
70	72
37	0
111	15
59	74
97	74
77	10
49	0
77	80
63	50
76	73
62	61
77	80
77	82
52	0
72	66
82	45
86	28
25	22
55	59
70	64
73	65
37	43
64	63
73	16
78	65
52	10
60	10
59	54
83	77
54	70
53	64
28	0
71	66
71	62
80	63
70	67
131	69
69	64
25	0
70	69
43	4
91	69
80	69
80	73
72	83
62	73
112	13
42	69
52	55
72	46
23	20
55	56
70	18
98	26
13	10
73	72
50	10
88	70
2	20
81	69
53	76
72	74
26	7
47	40
26	12
52	49
83	71
161	61
42	4
31	3
31	7
63	45
32	0
64	62
78	52
57	68
69	80
116	28
69	62
9	14
84	62
60	54
61	50
130	22
74	82
65	56
44	65
67	73
115	35
49	53
67	54
132	15
78	67
44	20
34	6
62	60
83	79
81	70
49	7
51	6
96	39
64	61
12	6
63	53
124	29
86	72
85	17
46	8
64	71
90	78
29	54
63	59
82	74
25	19
116	15
60	68
58	8
13	18
321	66
144	22
76	58
82	69
79	61
71	67
46	54
73	73
78	67
50	0
4	5
33	2
33	6
70	63
63	67
55	79
31	18
61	60
84	80
58	86
64	8
46	44
59	87
78	88
69	71
52	54
67	61
47	63
53	45
65	62
9	9
69	60
81	78
72	69
59	62
29	44
68	67
6	7
53	73
88	68
49	71
43	3
63	54
43	0
62	77
75	66
62	41
20	16
31	6
40	38
14	15
153	92
46	13
52	47
42	50
22	26
64	58
17	14
62	21
51	0
32	7
123	19
65	80
89	39
66	65
123	22
124	22
11	12
76	83
154	21
78	64
70	50
49	11
12	9
55	0
19	14
67	71
